,Family,Suborder,Region,WoS,Sample,Links
Myotis.daubentonii,Vespertilionidae,Yangochiroptera,Europe-Asia C/E,233,6,2
Myotis.myotis,Vespertilionidae,Yangochiroptera,Europe-Asia C/E,443,NA,3
Myotis.nattereri,Vespertilionidae,Yangochiroptera,Europe-Asia C/E,140,2,1
Myotis.mystacinus,Vespertilionidae,Yangochiroptera,Europe-Asia C/E,76,2,1
Myotis.brandtii,Vespertilionidae,Yangochiroptera,Europe-Asia C/E,55,1,1
Myotis.nigricans,Vespertilionidae,Yangochiroptera,America C/S/Carib,59,6,1
Eptesicus.nilssonii,Vespertilionidae,Yangochiroptera,Europe-Asia C/E,46,1,1
Nyctalus.noctula,Vespertilionidae,Yangochiroptera,Europe-Asia C/E,192,1,1
Pipistrellus.pipistrellus,Vespertilionidae,Yangochiroptera,Europe-Asia C/E,506,36,2
Tylonycteris.pachypus,Vespertilionidae,Yangochiroptera,Asia S/E/SE,15,1,1
Corynorhinus.townsendii,Vespertilionidae,Yangochiroptera,America N,52,1,1
Rhinolophus.pearsonii,Rhinolophidae,Yinpterochiroptera,Asia S/E/SE,2,1,1
Rhinolophus.borneensis,Rhinolophidae,Yinpterochiroptera,Asia S/E/SE,1,5,7
Rhinolophus.sinicus,Rhinolophidae,Yinpterochiroptera,Asia S/E/SE,18,7,2
Rhinolophus.acuminatus,Rhinolophidae,Yinpterochiroptera,Asia S/E/SE,2,17,2
Rhinolophus.landeri,Rhinolophidae,Yinpterochiroptera,Africa,4,18,2
Hipposideros.gigas,Hipposideridae,Yinpterochiroptera,Africa,16,4,1
Hipposideros.diadema,Hipposideridae,Yinpterochiroptera,Asia S/E/SE,12,1,1
Hipposideros.larvatus,Hipposideridae,Yinpterochiroptera,Asia S/E/SE,18,32,7
Triaenops.persicus,Hipposideridae,Yinpterochiroptera,Africa,7,8,1
Megaderma.lyra,Megadermatidae,Yinpterochiroptera,Asia S/E/SE,123,3,2
Rousettus.aegyptiacus,Pteropodidae,Yinpterochiroptera,Africa,251,105,1
