Myotis.daubentonii,Myotis.mystacinus,Nyctalus.noctula,Myotis.myotis,Eptesicus.nilssonii,Pipistrellus.pipistrellus,Myotis.nigricans,Myotis.brandtii,Tylonycteris.pachypus,Myotis.nattereri,Corynorhinus.townsendii,Rhinolophus.pearsonii,Rhinolophus.landeri,Rousettus.aegyptiacus,Eidolon.helvum,Micropteropus.pusillus,Epomophorus.gambianus,Pteropus.hypomelanus,Ptenochirus.jagori,Harpyionycteris.whiteheadi,Desmodus.rotundus,Carollia.perspicillata,Glossophaga.soricina,Sturnira.lilium,Micronycteris.microtis,Artibeus.toltecus,Artibeus.planirostris,Phyllostomus.hastatus,Vampyressa.bidens,Artibeus.obscurus,Monophyllus.redmani,Brachyphylla.cavernarum,Artibeus.jamaicensis,Macrotus.waterhousii,Diaemus.youngi,Phyllonycteris.poeyi,Lophostoma.silvicolum,Artibeus.lituratus,Noctilio.leporinus,Pteronotus.davyi,Pteronotus.personatus,Miniopterus.natalensis,Miniopterus.schreibersii,Triaenops.persicus,Hipposideros.gigas,Hipposideros.diadema,Hipposideros.larvatus,Megaderma.lyra,Rhinolophus.borneensis,Megaerops.niphanae,Rhinolophus.acuminatus,Rhinolophus.sinicus,Coleura.afra,Hipposideros.armiger,Hipposideros.fulvus,Taphozous.melanopogon,Chaerephon.plicatus,Eidolon.dupreanum,Anoura.geoffroyi,Sturnira.mordax,Vampyressa.thyone,Carollia.castanea,Platyrrhinus.vittatus,Carollia.sowelli,Myotis.keaysi,Uroderma.bilobatum
1,0.244922409,0.346456727,0.160380573,0.476445171,0.267274321,0,0.414743271,0,0.285842418,0,0.011628692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083381282,0,0,0,0,0.00088113,0,0,0,0.014331649,0,0.010985927,0,0,0,0,0,0,0,0,0,0,0,0
0.244922409,1,0.350709003,0.43034846,0.198900845,0.301273643,0,0.380715756,0,0.472959566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240914268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.346456727,0.350709003,1,0.284276637,0.228300886,0.458115354,0,0.352063123,0.014219936,0.500872523,0,0.03026814,0,0.001395119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144963119,0,0,0.000403542,0.017243245,0.03461847,0.000146573,0.010187753,0,0.018400791,0,0.040367073,0.006541118,0.015313588,0.000797201,0,0,0,0,0,0,0,0,0
0.160380573,0.43034846,0.284276637,1,0.063652467,0.347979217,0,0.169075668,0,0.512877415,0,0,0,0.007267071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486058987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.476445171,0.198900845,0.228300886,0.063652467,1,0.126672852,0,0.501553,0,0.157732617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010399595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.267274321,0.301273643,0.458115354,0.347979217,0.126672852,1,0,0.220546398,0.012716687,0.482124955,0,0.095801359,0,0.003445338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25031203,0.001709371,0,0,0.011010184,0.029161524,0,0,0,0.111976365,0,0.095000891,0.006048275,0.025963158,0.001158712,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0.003808988,0,0,0,0,0,0,0,0,0,0.799847071,0.91340218,0.860369992,0.890307634,0.276639147,0.035048578,0.547372799,0.853366076,0.444038878,0.768495432,0,0,0.082900887,0.011559381,0.884574477,0,0.823590088,0.89377852,0.903882582,0.176784486,0.276369989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.448892404,0.001797809,0.298372601,0.328510719,0.052754368,0.040228119,0.182690477,0.84169878
0.414743271,0.380715756,0.352063123,0.169075668,0.501553,0.220546398,0,1,0,0.331858326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061494024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.014219936,0,0,0.012716687,0,0,1,0,0,0.229386916,0,0,0,0,0,0.059825164,0.063330625,0.040088072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461302718,0.73141758,0.305500138,0.171813682,0.282226134,0.251876664,0.059932042,0,0.390029003,0.013341098,0.601847116,0.523201268,0,0,0,0,0,0,0,0,0
0.285842418,0.472959566,0.500872523,0.512877415,0.157732617,0.482124955,0,0.331858326,0,1,0,0,0,0.007696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310450651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.003808988,0,0,0,1,0,0,0,0,0,0,0,0,0,0.023975718,8.10E-05,0.015807674,0.014952597,0.001544704,0.022462281,0,0,0,0,0,0,0.0200148,0.036867258,0.000315474,0,0,0.009310799,0.001576636,0.031220577,0.022659991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019070263,0,0.001070641,0,0,0.000138334,0.004384366,0
0.011628692,0,0.03026814,0,0,0.095801359,0,0,0.229386916,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030272146,0.213097992,0.206011388,0.000979402,0.167497571,0.035391862,0.541383271,0,0.666608916,0.003626155,0.223063998,0.075140038,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0.196436912,0.725261606,0.437276059,0.291823091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134147167,0.010373443,0.048312673,0.292547989,0,0,0,0,0,0,0,0.177237758,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.001395119,0.007267071,0,0.003445338,0,0,0,0.007696,0,0,0.196436912,1,0.185228802,0.169059181,0.05442421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12769344,0.020413491,0.128973292,0.121907882,0,0,0,0,0,0,0,0.135029041,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.725261606,0.185228802,1,0.375902069,0.22133157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162614424,0.010513946,0.040863145,0.263859649,0,0,0,0,0,0,0,0.126216801,0,0,0,0,0,0,0,0,0,0,0,0,0
