H.P,ML.PACo.resid,ML.PACo.median,ML.PACo.1.5IQR,ML.ParaFit.F1,ML.ParaFit.p,ML.ParaFit.sig,ML.overlap.PACo.resid,ML.overlap.PACo.median,ML.overlap.PACo.1.5IQR,ML.overlap.ParaFit.F1,ML.overlap.ParaFit.p,ML.overlap.ParaFit.sig,BEAST.PACo.resid,BEAST.PACo.median,BEAST.PACo.1.5IQR,BEAST.ParaFit.F1,BEAST.ParaFit.p,BEAST.ParaFit.sig,BEAST.overlap.PACo.resid,BEAST.overlap.PACo.median,BEAST.overlap.PACo.1.5IQR,BEAST.overlap.ParaFit.F1,BEAST.overlap.ParaFit.p,BEAST.overlap.ParaFit.sig,Carrier
Rhinolophus.acuminatus-KP100346,0.081609431,0,1,-0.0203376,0.9810019,0,1.072558669,0,0,-0.17947967,0.99750025,0,0.225068431,0,0,0.160079776,9.999E-05,1,1.105186622,0,0,0.10416896,0.283471653,0,bat
Rhinolophus.sinicus-KP100343,0.083788128,0,1,-0.02422314,0.99330067,0,0.195396355,1,1,0.038073476,0.928607139,0,0.158504049,0,1,0.1606642,9.999E-05,1,0.284180538,0,1,0.125855218,0.165183482,0,bat
Pteronotus.davyi-HM597194,0.013659408,1,1,0.051822349,0.053294671,0,0.169025522,1,1,0.469605629,0.00029997,1,0.044817341,1,1,0.146454069,9.999E-05,1,0.201252988,1,1,0.282107972,9.999E-05,1,bat
Pteronotus.davyi-HM597193,0.013478885,1,1,0.051373816,0.049995,1,0.168037906,1,1,0.464887486,0.00029997,1,0.044817341,1,1,0.146454069,9.999E-05,1,0.201252988,1,1,0.282107972,9.999E-05,1,bat
Desmodus.rotundus-HM597188,0.01904237,1,1,0.173243768,9.999E-05,1,0.104212372,1,1,1.218728665,9.999E-05,1,0.034127105,1,1,0.26405651,9.999E-05,1,0.094081092,1,1,0.794344161,9.999E-05,1,bat
Desmodus.rotundus-JQ071379,0.01857277,1,1,0.174223317,9.999E-05,1,0.10239711,1,1,1.22576617,9.999E-05,1,0.034171781,1,1,0.26405422,9.999E-05,1,0.09408737,1,1,0.794354678,9.999E-05,1,bat
Desmodus.rotundus-HM597187,0.019535521,1,1,0.172069747,9.999E-05,1,0.106152508,1,1,1.210710524,9.999E-05,1,0.034115492,1,1,0.264060663,9.999E-05,1,0.094068243,1,1,0.794354467,9.999E-05,1,bat
Desmodus.rotundus-HM597189,0.018573351,1,1,0.1742884,9.999E-05,1,0.102339798,1,1,1.226780587,9.999E-05,1,0.034171781,1,1,0.26405422,9.999E-05,1,0.09408737,1,1,0.794354678,9.999E-05,1,bat
Carollia.perspicillata-HM597191,0.045814027,0,1,0.123270234,0.00069993,1,0.178148632,1,1,1.219627708,9.999E-05,1,0.113055773,0,1,0.265134298,9.999E-05,1,0.168188734,1,1,0.801038122,9.999E-05,1,bat
Desmodus.rotundus-HM597191,0.019058898,1,1,0.174659623,9.999E-05,1,0.104236995,1,1,1.245488092,9.999E-05,1,0.034189595,1,1,0.264053297,9.999E-05,1,0.094089897,1,1,0.794358842,9.999E-05,1,bat
Carollia.perspicillata-HM597192,0.046128232,0,1,0.124037143,0.00109989,1,0.178211166,1,1,1.228457473,9.999E-05,1,0.113048615,0,1,0.26513274,9.999E-05,1,0.16819458,1,1,0.801028723,9.999E-05,1,bat
Desmodus.rotundus-HM597192,0.01857705,1,1,0.175912892,9.999E-05,1,0.102330683,1,1,1.254628798,9.999E-05,1,0.034202056,1,1,0.264048832,9.999E-05,1,0.094103705,1,1,0.794347748,9.999E-05,1,bat
Desmodus.rotundus-HM597190,0.020591426,1,1,0.167841327,9.999E-05,1,0.110429298,1,1,1.182361936,9.999E-05,1,0.034115492,1,1,0.264060663,9.999E-05,1,0.094068243,1,1,0.794354467,9.999E-05,1,bat
Eidolon.helvum-KM030516,0.051389144,0,1,-0.049436013,0.9990001,0,0.416037228,0,1,-0.32440515,0.99990001,0,0.116965588,0,1,0.415200236,9.999E-05,1,0.237590384,1,1,0.859772218,9.999E-05,1,bat
Pteropus.hypomelanus-JX416256,0.062905273,0,1,-0.038074206,0.99650035,0,0.686218914,0,1,-0.07992067,0.96620338,0,0.172257598,0,1,0.337467887,9.999E-05,1,0.884739571,0,0,0.118676787,0.139986001,0,ectoparasite
Eidolon.helvum-JN172070,0.057345288,0,1,-0.05023838,0.99870013,0,0.449739685,0,1,-0.316801284,1,0,0.115985566,0,1,0.41558862,9.999E-05,1,0.229817371,1,1,0.86490441,9.999E-05,1,ectoparasite
Eidolon.helvum-JN172071,0.057762792,0,1,-0.051921037,0.9990001,0,0.452791191,0,1,-0.33096442,1,0,0.115985566,0,1,0.41558862,9.999E-05,1,0.229817371,1,1,0.86490441,9.999E-05,1,ectoparasite
Eidolon.helvum-JN172052,0.041033321,1,1,0.057421129,0.00409959,1,0.321538644,0,1,0.432521545,9.999E-05,1,0.124840426,0,1,0.406358575,9.999E-05,1,0.252809861,1,1,0.844431303,9.999E-05,1,ectoparasite
Micropteropus.pusillus-KM030503,0.020595917,1,1,0.070093841,0.00829917,1,0.188649122,1,1,0.496764456,9.999E-05,1,0.054209705,1,1,0.343385755,9.999E-05,1,0.032914052,1,1,0.607397002,9.999E-05,1,bat
Epomophorus.gambianus-KM030503,0.01972412,1,1,0.068944337,0.01129887,1,0.358938034,0,1,0.406210695,0.00079992,1,0.055482679,1,1,0.343385441,9.999E-05,1,0.360399988,0,1,0.452374986,9.999E-05,1,bat
Eidolon.helvum-KM030503,0.047018641,0,1,0.078359876,0.00519948,1,0.357363208,0,1,0.556652836,9.999E-05,1,0.125177671,0,1,0.411624095,9.999E-05,1,0.256292519,1,1,0.852406848,9.999E-05,1,bat
Phyllostomus.hastatus-HM597204,0.042808287,0,1,0.06895045,0.00679932,1,0.271758338,1,1,0.60256806,9.999E-05,1,0.141238859,0,1,0.226077378,9.999E-05,1,0.221386237,1,1,0.624814855,9.999E-05,1,bat
Artibeus.obscurus-JQ071380,0.073426191,0,1,0.084475636,0.00139986,1,0.312201947,1,1,0.527364441,9.999E-05,1,0.129746854,0,1,0.231877878,9.999E-05,1,0.267454271,1,1,0.565107646,9.999E-05,1,bat
Micronycteris.microtis-HM597207,0.029541217,1,1,0.062830274,0.01429857,1,0.353090355,0,1,0.334855591,0.00179982,1,0.113785941,0,1,0.19611134,9.999E-05,1,0.443259513,0,1,0.288135883,9.999E-05,1,bat
Carollia.perspicillata-JQ071385,0.047365489,0,1,0.073034966,0.0059994,1,0.26048878,1,1,0.628948848,9.999E-05,1,0.134431851,0,1,0.227380452,9.999E-05,1,0.209665458,1,1,0.639890141,9.999E-05,1,bat
Monophyllus.redmani-KJ530746,0.028896632,1,1,0.112802192,0.00089991,1,0.336157784,0,1,0.276054854,0.01659834,1,0.059480976,1,1,0.265572198,9.999E-05,1,0.307484905,0,1,0.061891328,0.252074793,0,bat
Phyllonycteris.poeyi-KJ530746,0.03549725,1,1,0.102180228,0.00179982,1,0.316924826,0,1,0.270561684,0.01889811,1,0.078170913,1,1,0.258826856,9.999E-05,1,0.286485431,0,1,0.05794781,0.276272373,0,bat
Monophyllus.redmani-KJ530743,0.029894817,1,1,0.112942111,0.00049995,1,0.333063885,0,1,0.22062795,0.060593941,0,0.058748131,1,1,0.265394404,9.999E-05,1,0.314157683,0,1,0.060662564,0.266673333,0,bat
Phyllostomus.hastatus-HM597201,0.026388937,1,1,0.101514904,0.00029997,1,0.23067255,1,1,0.768671752,9.999E-05,1,0.053149421,1,1,0.270044341,9.999E-05,1,0.217355285,1,1,0.63873159,9.999E-05,1,bat
